EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE940146675093,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.739374,51.270068,2017-09-01,35,3000.000,3000.000,888
SEE973767078653,01060017,Segeberg,Damsdorf,10.299400,54.073831,2017-09-28,35,3000.000,3000.000,888
SEE914108319653,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.733069,51.272164,2017-09-04,35,3000.000,3000.000,888
SEE982417853618,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.748361,51.270462,2017-08-31,35,3000.000,3000.000,888
SEE913741454097,05370016,Heinsberg,Heinsberg,6.045546,51.029548,2017-01-11,35,2400.000,2400.000,888
SEE900290686291,01051062,Dithmarschen,Kronprinzenkoog,8.971423,53.953022,2016-03-24,35,2350.000,2350.000,888
SEE901069753206,06432010,Darmstadt-Dieburg,Groß-Umstadt,8.977337,49.876166,1999-10-29,35,1000.000,1000.000,888
SEE978389475514,07135043,Cochem-Zell,Kaifenheim,7.239221,50.252081,2016-03-14,35,3300.000,3300.000,888
SEE975973981666,09575152,Neustadt a.d. Aisch-Bad Windsheim,Neuhof a.d. Zenn,10.660917,49.432306,2016-10-18,35,3300.000,3300.000,888
SEE987713232792,06635011,Waldeck-Frankenberg,Frankenberg (Eder),8.877135,51.050636,1997-12-15,35,600.000,600.000,888
SEE906295197954,01054120,Nordfriesland,Simonsberg,8.984462,54.441860,2012-09-04,35,3075.000,3075.000,888
SEE959128063063,05774012,Paderborn,Borchen,8.792204,51.622425,2018-08-24,35,3000.000,3000.000,888
SEE923802377883,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.592151,47.881949,,31,5700.000,5700.000,888
SEE949984955732,05970028,Siegen-Wittgenstein,Bad Laasphe,8.380022,50.890265,2013-09-09,35,3075.000,3075.000,888
SEE954944337220,01057041,Plön,Krummbek,10.404352,54.359746,2001-01-01,35,1750.000,1750.000,888
SEE950179793688,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.597642,47.880898,,31,5700.000,5700.000,888
SEE948219812307,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.426895,53.883993,2013-06-13,35,3050.000,3050.000,888
SEE969490244571,01057041,Plön,Krummbek,10.402225,54.357637,2000-12-01,35,1750.000,1750.000,888
SEE922570521054,01057041,Plön,Krummbek,10.405882,54.355883,2006-12-30,35,2000.000,2000.000,888
SEE975554042434,03152003,Göttingen,Bodensee,10.153584,51.612171,2018-12-05,35,3600.000,3600.000,888
SEE990997372290,09679131,Würzburg,Frickenhausen a. Main,10.033514,49.605700,2014-12-10,35,2000.000,2000.000,888
SEE926034105682,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.604953,47.881193,,31,5700.000,5700.000,888
SEE971087087461,08326027,Schwarzwald-Baar-Kreis,Hüfingen,8.599871,47.890047,,31,5700.000,5700.000,888
SEE910634021237,08326012,Schwarzwald-Baar-Kreis,Donaueschingen,8.607230,47.890135,,31,5700.000,5700.000,888
SEE993918975099,08326012,Schwarzwald-Baar-Kreis,Donaueschingen,8.614181,47.889817,,31,5700.000,5700.000,888
SEE900136703434,05566080,Steinfurt,Saerbeck,7.614904,52.204128,2013-11-28,35,3050.000,3050.000,888
SEE975697581166,05566080,Steinfurt,Saerbeck,7.617248,52.201597,2013-11-12,35,3050.000,3050.000,888
SEE964274163000,08317051,Ortenaukreis,Hornberg,8.255743,48.233353,2002-12-20,35,1000.000,1000.000,888
SEE901944891672,05554004,Borken,Ahaus,6.990278,52.109722,1998-05-13,35,600.000,600.000,888
SEE962097502426,07143225,Westerwaldkreis,Giesenhausen,7.725945,50.694000,1994-11-29,35,250.000,250.000,888
SEE913476607737,03151019,Gifhorn,Obernholz,10.591174,52.749314,2000-03-01,35,600.000,600.000,888
SEE901953720864,07232065,Eifelkreis Bitburg-Prüm,Kaschenbach,6.313417,49.513993,2013-08-29,35,2000.000,2000.000,888
SEE946913378938,01055036,Ostholstein,Riepsdorf,10.943881,54.236897,2000-08-03,38,660.000,660.000,888
SEE936077126704,01055036,Ostholstein,Riepsdorf,10.945197,54.234600,2000-08-04,38,660.000,660.000,888
SEE976480356336,01055036,Ostholstein,Riepsdorf,10.946528,54.232303,2000-08-03,38,660.000,660.000,888
SEE917334783236,01055036,Ostholstein,Riepsdorf,10.948439,54.230136,2000-08-09,38,660.000,660.000,888
SEE949293116329,01055036,Ostholstein,Riepsdorf,10.953019,54.228461,2000-08-07,38,660.000,660.000,888
SEE905630482274,15083298,Börde,Hohe Börde,11.465000,52.176389,2010-12-16,35,2500.000,2500.000,888
SEE909799533297,03452019,Aurich,Norden,7.099000,53.575000,1993-10-04,35,300.000,300.000,888
SEE982499303742,01054002,Nordfriesland,Ahrenshöft,,,2012-01-03,35,6.000,6.000,888
SEE937863584876,01055046,Ostholstein,Fehmarn,11.102845,54.491497,2006-10-12,35,2300.000,2300.000,888
SEE931794674651,03402000,Emden,Emden,7.266000,53.380000,1995-03-23,35,510.000,510.000,888
SEE987638635142,01055036,Ostholstein,Riepsdorf,10.953326,54.224462,2000-06-30,35,660.000,660.000,888
SEE922793604978,01055036,Ostholstein,Riepsdorf,10.956545,54.220222,2000-06-30,35,660.000,660.000,888
SEE999659874554,01055036,Ostholstein,Riepsdorf,10.965686,54.215066,2000-06-23,35,660.000,660.000,888
SEE950785031617,01055036,Ostholstein,Riepsdorf,10.970278,54.212820,2000-06-22,35,660.000,660.000,888
SEE917342732226,01055036,Ostholstein,Riepsdorf,10.975578,54.210837,2000-06-30,35,660.000,660.000,888
SEE921980944712,01055036,Ostholstein,Riepsdorf,10.959635,54.211816,2000-06-22,35,660.000,660.000,888
SEE946137284763,01055036,Ostholstein,Riepsdorf,10.962553,54.209984,2000-06-22,35,660.000,660.000,888
SEE955275455850,01055036,Ostholstein,Riepsdorf,10.967681,54.209582,2000-06-22,35,660.000,660.000,888
SEE965612305083,01055046,Ostholstein,Fehmarn,11.100788,54.489577,2006-10-18,35,2300.000,2300.000,888
SEE939244578108,01055046,Ostholstein,Fehmarn,11.102324,54.487100,2006-10-19,35,2300.000,2300.000,888
SEE932173753615,01055046,Ostholstein,Fehmarn,11.106485,54.485945,2006-10-19,35,2300.000,2300.000,888
SEE980593379632,01055046,Ostholstein,Fehmarn,11.106146,54.480247,2006-10-13,35,2300.000,2300.000,888
SEE994466583514,01055046,Ostholstein,Fehmarn,11.109606,54.479374,2006-10-12,35,2300.000,2300.000,888
SEE986763358575,01055046,Ostholstein,Fehmarn,11.109255,54.477053,2006-10-11,35,2300.000,2300.000,888
SEE958665984244,01055046,Ostholstein,Fehmarn,11.107397,54.490821,2006-10-06,35,2300.000,2300.000,888
SEE956453830889,01055046,Ostholstein,Fehmarn,11.108900,54.487697,2006-09-29,35,2300.000,2300.000,888
SEE917396624430,01055046,Ostholstein,Fehmarn,11.108110,54.483385,2006-10-08,35,2300.000,2300.000,888
SEE900693366332,01055046,Ostholstein,Fehmarn,11.113163,54.482508,2006-10-04,35,2300.000,2300.000,888
SEE981427325085,01055046,Ostholstein,Fehmarn,11.113230,54.480146,2006-10-04,35,2300.000,2300.000,888
SEE939630426662,01055046,Ostholstein,Fehmarn,11.114625,54.476967,2006-10-26,35,2300.000,2300.000,888
SEE984129721315,01055046,Ostholstein,Fehmarn,11.114411,54.491169,2006-09-27,35,2300.000,2300.000,888
SEE954280444170,01055046,Ostholstein,Fehmarn,11.115589,54.488797,2006-09-27,35,2300.000,2300.000,888
SEE914508745694,01055046,Ostholstein,Fehmarn,11.110970,54.489733,2006-11-23,35,2300.000,2300.000,888
SEE953360256689,01055046,Ostholstein,Fehmarn,11.117776,54.483979,2006-09-27,35,2300.000,2300.000,888
SEE970117371174,01055046,Ostholstein,Fehmarn,11.119377,54.480577,2006-09-23,35,2300.000,2300.000,888
SEE920618190866,01055046,Ostholstein,Fehmarn,11.120703,54.478458,2006-09-27,35,2300.000,2300.000,888
SEE969876050062,01055046,Ostholstein,Fehmarn,11.121536,54.476272,2006-09-28,35,2300.000,2300.000,888
SEE985376904216,01055046,Ostholstein,Fehmarn,11.098731,54.487675,2006-08-11,35,2300.000,2300.000,888
SEE945853682280,01055046,Ostholstein,Fehmarn,11.099874,54.484836,2006-08-04,35,2300.000,2300.000,888
SEE949197406335,01055046,Ostholstein,Fehmarn,11.103312,54.482130,2006-08-30,35,2300.000,2300.000,888
SEE965725392246,01055046,Ostholstein,Fehmarn,11.095958,54.489656,2006-08-31,35,2300.000,2300.000,888
SEE975399243621,01055046,Ostholstein,Fehmarn,11.117837,54.474699,2006-08-11,35,2300.000,2300.000,888
SEE913818934996,01051047,Dithmarschen,Hemme,8.955812,54.264385,2014-05-22,35,2300.000,2300.000,888
SEE928150861541,01051047,Dithmarschen,Hemme,8.953315,54.265011,2014-06-20,35,2300.000,2300.000,888
SEE909241247802,01051047,Dithmarschen,Hemme,8.958456,54.265603,2014-06-20,35,2300.000,2300.000,888
SEE987619263197,01051047,Dithmarschen,Hemme,8.955989,54.262705,2014-05-23,35,2300.000,2300.000,888
SEE916056181665,01054041,Nordfriesland,Haselund,9.167139,54.583375,2013-12-11,35,3170.000,3170.000,888
SEE909849088661,03453007,Cloppenburg,Friesoythe,,,2018-05-22,35,29.800,29.800,888
SEE978971279582,09375156,Regensburg,Kallmünz,12.000000,49.000000,1996-10-01,38,100.000,100.000,888
SEE919985691250,08317118,Ortenaukreis,Sasbachwalden,8.201761,48.607354,2015-11-06,35,2300.000,2300.000,888
SEE966429713405,09679131,Würzburg,Frickenhausen a. Main,10.041377,49.602821,2014-12-10,35,2000.000,2000.000,888
SEE925438597321,04011000,Bremen,Bremen,8.709239,53.126806,2014-06-05,35,3400.000,3400.000,888
SEE981565701970,05334002,Städteregion Aachen,Aachen,6.168717,50.676346,2018-09-19,35,3300.000,3300.000,888
SEE974457797076,06532007,Lahn-Dill-Kreis,Driedorf,8.126357,50.648611,2014-03-16,35,3050.000,3050.000,888
SEE947433298492,05334002,Städteregion Aachen,Aachen,6.178403,50.664032,2018-09-28,35,3300.000,3300.000,888
SEE985818635128,12064029,Märkisch-Oderland,Altlandsberg,13.789959,52.602453,2004-12-01,35,2000.000,2000.000,888
SEE916799735408,05334002,Städteregion Aachen,Aachen,6.180589,50.670274,2018-09-28,35,3300.000,3300.000,888
SEE927527912091,06635008,Waldeck-Frankenberg,Diemelstadt,8.925434,51.445817,2013-11-19,35,2400.000,2400.000,888
SEE975728393683,05334002,Städteregion Aachen,Aachen,6.183060,50.668022,2018-10-23,35,3300.000,3300.000,888
SEE960287756734,07135043,Cochem-Zell,Kaifenheim,7.244092,50.250000,2016-03-17,35,3300.000,3300.000,888
SEE908999761141,07135043,Cochem-Zell,Kaifenheim,7.243275,50.246862,2016-03-29,35,3300.000,3300.000,888
SEE994680864611,06532007,Lahn-Dill-Kreis,Driedorf,8.136672,50.651746,2009-01-23,35,800.000,800.000,888
SEE954065333897,12072055,Teltow-Fläming,Dahmetal,13.490910,51.892620,2017-03-18,35,2530.000,2530.000,888
SEE937504967655,05334002,Städteregion Aachen,Aachen,6.190190,50.670461,2020-01-15,35,3300.000,3300.000,888
SEE937560619239,06635008,Waldeck-Frankenberg,Diemelstadt,8.930396,51.445425,2013-11-26,35,2400.000,2400.000,888
SEE905867772766,01054106,Nordfriesland,Rantrum,,,2018-04-24,38,10.000,10.000,888
SEE949002460514,05774032,Paderborn,Paderborn,8.863223,51.720882,2019-02-01,35,2300.000,2300.000,888
SEE928121696516,06635008,Waldeck-Frankenberg,Diemelstadt,8.923138,51.450611,2013-11-19,35,2400.000,2400.000,888
SEE926967078862,06635002,Waldeck-Frankenberg,Bad Arolsen,8.934484,51.443634,2013-11-19,35,2400.000,2400.000,888
SEE986633529210,07134082,Birkenfeld,Sien,7.521022,49.686390,2019-02-02,35,3600.000,3600.000,888
SEE925854856361,08127075,Schwäbisch Hall,Schrozberg,9.869612,49.442680,2018-09-21,35,3450.000,3450.000,888
SEE931136456792,08128045,Main-Tauber-Kreis,Großrinderfeld,9.615160,49.602228,2017-12-28,35,3300.000,3300.000,888
SEE948174917413,01051062,Dithmarschen,Kronprinzenkoog,8.965544,53.952006,2016-06-29,35,3000.000,3000.000,888
SEE999391534563,05515000,Münster,Münster,7.580280,51.868732,2018-12-18,35,4200.000,4200.000,888
SEE999479064685,08128082,Main-Tauber-Kreis,Niederstetten,9.874170,49.437690,2018-09-21,35,3450.000,3450.000,888
SEE943606210605,03254013,Hildesheim,Eime,9.699684,52.077950,1993-09-15,35,150.000,150.000,888
SEE991510648281,03256018,Nienburg (Weser),Leese,8.987413,52.485784,2002-02-28,35,600.000,600.000,888
SEE986980992200,08128082,Main-Tauber-Kreis,Niederstetten,9.875630,49.434380,2018-09-21,35,3450.000,3450.000,888
SEE948721850590,12067237,Oder-Spree,Jacobsdorf,14.367995,52.361379,2016-12-23,35,3450.000,3450.000,888
SEE944030169118,15081135,Altmarkkreis Salzwedel,Gardelegen,11.200092,52.508658,2015-01-16,35,2300.000,2300.000,888
SEE924957666754,09679188,Würzburg,Sonderhofen,10.041837,49.600420,2011-03-30,35,2000.000,2000.000,888
SEE908246758184,14522210,Mittelsachsen,Großschirma,13.254672,50.969848,2002-09-25,38,850.000,850.000,888
SEE922705759192,03358016,Heidekreis,Munster,9.734628,52.966818,2014-10-24,35,2350.000,2350.000,888
SEE907018034945,07339201,Mainz-Bingen,Dorn-Dürkheim,8.280162,49.754202,2012-11-09,35,2300.000,2300.000,888
SEE913081917771,15084015,Burgenlandkreis,Bad Bibra,11.543622,51.233631,1998-12-14,38,600.000,600.000,888
SEE995385162583,07140014,Rhein-Hunsrück-Kreis,Bickenbach,7.587343,50.138030,2018-03-24,35,3170.000,3170.000,888
SEE913798001084,06532007,Lahn-Dill-Kreis,Driedorf,8.132222,50.647178,2006-01-10,35,800.000,800.000,888
SEE926314112690,03251040,Diepholz,Sulingen,,,2017-01-20,35,1.000,1.000,888
SEE979124834658,07134082,Birkenfeld,Sien,7.519205,49.683209,2018-12-31,35,3600.000,3600.000,888
SEE921889189207,03455020,Friesland,Wangerland,8.004439,53.648937,1993-11-15,35,500.000,500.000,888
SEE930070129359,10043113,Neunkirchen,Merchweiler,7.080650,49.347938,2018-06-14,35,3000.000,3000.000,888
SEE954077892542,03251040,Diepholz,Sulingen,,,2017-01-20,35,1.000,1.000,888
SEE994645831757,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.749439,51.266531,2017-09-22,35,3000.000,3000.000,888
SEE961308926136,09780114,Oberallgäu,Betzigau,,,2019-01-23,38,1.000,1.000,888
SEE961423500822,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.738750,51.278958,2017-07-14,35,3000.000,3000.000,888
SEE997173911229,01054041,Nordfriesland,Haselund,9.161911,54.584341,2013-12-09,35,3170.000,3170.000,888
SEE901389927547,01051109,Dithmarschen,Süderdeich,8.922446,54.193584,2016-03-29,35,2350.000,2350.000,888
SEE974133645066,01054144,Nordfriesland,Viöl,9.163810,54.578580,2013-12-19,35,3170.000,3170.000,888
SEE977098607209,01054144,Nordfriesland,Viöl,9.160958,54.581217,2013-12-20,35,3170.000,3170.000,888
SEE983797054244,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.733790,51.281732,2017-05-31,35,3000.000,3000.000,888
SEE961554931434,01054144,Nordfriesland,Viöl,9.155934,54.578383,2013-12-28,35,3170.000,3170.000,888
SEE958609973471,06532007,Lahn-Dill-Kreis,Driedorf,8.130600,50.649000,1998-05-20,35,500.000,500.000,888
SEE916761594682,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.729699,51.276038,2017-06-26,35,3000.000,3000.000,888
SEE939721575996,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.723700,51.278360,2017-05-23,35,3000.000,3000.000,888
SEE992411107808,12072120,Teltow-Fläming,Großbeeren,13.604827,52.241984,2003-09-01,35,2000.000,2000.000,888
SEE925626575339,07143253,Westerwaldkreis,Langenbach bei Kirburg,7.949600,50.705000,1997-09-24,35,500.000,500.000,888
SEE901931856097,07143268,Westerwaldkreis,Mündersbach,7.759700,50.608000,2006-06-19,35,2000.000,2000.000,888
SEE933298149512,07143202,Westerwaldkreis,Alpenrod,7.854400,50.619600,1998-08-13,35,500.000,500.000,888
SEE939178441813,07143202,Westerwaldkreis,Alpenrod,7.852700,50.620800,2000-09-22,35,600.000,600.000,888
SEE974771267460,07339201,Mainz-Bingen,Dorn-Dürkheim,8.287872,49.756982,2012-10-26,35,2300.000,2300.000,888
SEE985227635597,03461003,Wesermarsch,Butjadingen,8.304526,53.584919,2017-09-29,35,2300.000,2300.000,888
SEE968993430085,07339201,Mainz-Bingen,Dorn-Dürkheim,8.289320,49.754797,2012-11-08,35,2300.000,2300.000,888
SEE922061799788,05334020,Städteregion Aachen,Monschau,6.315053,50.541503,2018-05-03,35,3000.000,3000.000,888
SEE963563745521,03455020,Friesland,Wangerland,8.003871,53.651099,1993-11-15,35,500.000,500.000,888
SEE929387132831,03455020,Friesland,Wangerland,7.930621,53.630468,1996-11-20,35,600.000,600.000,888
SEE907827095274,05334020,Städteregion Aachen,Monschau,6.302471,50.538379,2017-12-08,35,3000.000,3000.000,888
SEE978136874560,07339201,Mainz-Bingen,Dorn-Dürkheim,8.293269,49.758067,2012-11-16,35,2300.000,2300.000,888
SEE997498719197,07339201,Mainz-Bingen,Dorn-Dürkheim,8.293995,49.755851,2012-12-02,35,2300.000,2300.000,888
SEE941221049020,01060017,Segeberg,Damsdorf,10.294205,54.071928,2017-09-27,35,3000.000,3000.000,888
SEE962911772868,05334020,Städteregion Aachen,Monschau,6.313768,50.532596,2018-03-16,35,3000.000,3000.000,888
SEE957587945463,03455015,Friesland,Schortens,8.013600,53.581028,2003-07-05,35,900.000,900.000,888
SEE913696566272,05334020,Städteregion Aachen,Monschau,6.311258,50.536496,2018-04-18,35,3000.000,3000.000,888
SEE983113710526,07339201,Mainz-Bingen,Dorn-Dürkheim,8.277112,49.755387,2012-12-13,35,2300.000,2300.000,888
SEE914485918234,05334020,Städteregion Aachen,Monschau,6.304545,50.532211,2018-02-22,35,3000.000,3000.000,888
SEE911738888108,07339201,Mainz-Bingen,Dorn-Dürkheim,8.283978,49.749585,2012-12-14,35,2300.000,2300.000,888
SEE928452396543,01054159,Nordfriesland,Wittbek,9.172616,54.484848,2015-12-29,35,3300.000,3300.000,888
SEE995655867453,03455015,Friesland,Schortens,8.014268,53.578854,2003-07-05,35,900.000,900.000,888
SEE954261165025,01059179,Schleswig-Flensburg,Lindewitt,9.236343,54.667084,2017-09-29,35,3050.000,3050.000,888
SEE993514819834,07331015,Alzey-Worms,Dittelsheim-Heßloch,8.271404,49.754040,2013-04-18,35,2300.000,2300.000,888
SEE917469481434,03455015,Friesland,Schortens,8.015146,53.576213,2003-07-05,35,900.000,900.000,888
SEE953761837937,01059179,Schleswig-Flensburg,Lindewitt,9.242680,54.670406,2017-09-26,35,3050.000,3050.000,888
SEE939238240615,07331015,Alzey-Worms,Dittelsheim-Heßloch,8.272588,49.751951,2013-03-11,35,2300.000,2300.000,888
SEE950489311879,05334002,Städteregion Aachen,Aachen,6.025632,50.825313,2017-09-28,35,2750.000,2750.000,888
SEE919983601206,07331015,Alzey-Worms,Dittelsheim-Heßloch,8.274486,49.750232,2013-02-08,35,2300.000,2300.000,888
SEE949376230058,07331015,Alzey-Worms,Dittelsheim-Heßloch,8.275065,49.747944,2013-01-30,35,2300.000,2300.000,888
SEE946005846918,03451005,Ammerland,Rastede,8.186445,53.278617,2001-09-01,35,900.000,900.000,888
SEE916385954305,05334002,Städteregion Aachen,Aachen,6.024431,50.837255,2017-06-08,35,3300.000,3300.000,888
SEE927344511514,07331002,Alzey-Worms,Alsheim,8.289635,49.750218,2013-09-02,35,2300.000,2300.000,888
SEE990772028893,09373113,Neumarkt i.d. OPf.,Berg b. Neumarkt i.d. OPf.,11.488600,49.350150,1998-06-24,35,500.000,500.000,888
SEE947323024392,07331002,Alzey-Worms,Alsheim,8.293326,49.753074,2013-09-06,35,2300.000,2300.000,888
SEE986129931039,07331002,Alzey-Worms,Alsheim,8.296351,49.750967,2013-09-26,35,2300.000,2300.000,888
SEE960974148347,07141011,Rhein-Lahn-Kreis,Berndroth,7.973760,50.246624,2013-12-19,35,800.000,800.000,888
SEE955357427270,07331031,Alzey-Worms,Gau-Heppenheim,8.198730,49.738404,1999-06-09,35,600.000,600.000,888
SEE933244215582,12072055,Teltow-Fläming,Dahmetal,13.484510,51.890410,2016-06-03,35,2530.000,2530.000,888
SEE970240259233,12067237,Oder-Spree,Jacobsdorf,14.370774,52.359065,2017-02-20,35,3450.000,3450.000,888
SEE912220399539,03452024,Aurich,Upgant-Schott,7.200870,53.509760,2012-01-16,35,800.000,800.000,888
SEE902440225077,03461007,Wesermarsch,Nordenham,8.375684,53.483242,2010-06-29,35,800.000,800.000,888
SEE987138754978,04011000,Bremen,Bremen,8.672736,53.149788,2010-05-18,35,2300.000,2300.000,888
SEE943048466622,01055032,Ostholstein,Neustadt in Holstein,10.897000,54.148000,2019-02-01,35,2000.000,2000.000,888
SEE978150569985,12067237,Oder-Spree,Jacobsdorf,14.366622,52.357793,2017-01-20,35,3450.000,3450.000,888
SEE974985183242,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.430621,53.881697,2013-06-13,35,3050.000,3050.000,888
SEE923807774281,04011000,Bremen,Bremen,8.677571,53.148795,2010-05-18,35,2300.000,2300.000,888
SEE917770180408,15084013,Burgenlandkreis,Meineweh,11.987384,51.065302,2004-04-01,35,750.000,750.000,888
SEE988550532632,12072055,Teltow-Fläming,Dahmetal,13.489680,51.889720,2016-06-16,35,2530.000,2530.000,888
SEE929809186879,03461007,Wesermarsch,Nordenham,8.381191,53.484080,2005-12-12,35,800.000,800.000,888
SEE971732258345,12067237,Oder-Spree,Jacobsdorf,14.365909,52.355317,2017-02-01,35,3450.000,3450.000,888
SEE986339556954,09479169,Wunsiedel i. Fichtelgebirge,Wunsiedel,12.083861,50.079051,2014-10-14,35,2500.000,2500.000,888
SEE975094493437,12072053,Teltow-Fläming,Dahme/Mark,13.486100,51.885550,2016-06-16,35,2530.000,2530.000,888
SEE977118064012,12067237,Oder-Spree,Jacobsdorf,14.364441,52.355246,2016-11-22,35,3450.000,3450.000,888
SEE905967482589,07319000,Worms,Worms,8.286653,49.658572,2012-02-09,35,3000.000,3000.000,888
SEE932473489481,08317051,Ortenaukreis,Hornberg,8.257797,48.235417,2002-12-20,35,1000.000,1000.000,888
SEE910277454751,03461007,Wesermarsch,Nordenham,8.379905,53.482568,2005-12-12,35,800.000,800.000,888
SEE963764933994,12067237,Oder-Spree,Jacobsdorf,14.363807,52.350316,2017-02-21,35,3450.000,3450.000,888
SEE992500237126,03355005,Lüneburg,Barendorf,10.525563,53.215562,2005-12-30,35,1500.000,1500.000,888
SEE981432095027,03461007,Wesermarsch,Nordenham,8.377812,53.484612,2018-05-28,35,2300.000,2300.000,888
SEE931770753134,07319000,Worms,Worms,8.291696,49.659020,2012-01-24,35,3000.000,3000.000,888
SEE923923348991,12072053,Teltow-Fläming,Dahme/Mark,13.482860,51.882130,2016-06-15,35,2530.000,2530.000,888
SEE978883707494,12067237,Oder-Spree,Jacobsdorf,14.373328,52.361254,2016-12-30,35,3450.000,3450.000,888
SEE964757457817,09479158,Wunsiedel i. Fichtelgebirge,Thiersheim,12.088383,50.075894,2016-09-28,35,2750.000,2750.000,888
SEE930330215907,09679188,Würzburg,Sonderhofen,10.042695,49.597541,2011-03-30,35,2000.000,2000.000,888
SEE999732809190,07319000,Worms,Worms,8.299842,49.660986,2011-12-29,35,3000.000,3000.000,888
SEE968044447352,05334002,Städteregion Aachen,Aachen,6.025588,50.834487,2017-06-15,35,3300.000,3300.000,888
SEE901778978266,07319000,Worms,Worms,8.301973,49.657308,2012-02-22,35,3000.000,3000.000,888
SEE943618043789,12067237,Oder-Spree,Jacobsdorf,14.373935,52.353607,2017-02-23,35,3450.000,3450.000,888
SEE969121787637,12067237,Oder-Spree,Jacobsdorf,14.376256,52.351452,2017-02-27,35,3450.000,3450.000,888
SEE997523930887,07319000,Worms,Worms,8.271765,49.649227,2012-01-13,35,3000.000,3000.000,888
SEE985636331707,07319000,Worms,Worms,8.280835,49.652306,2012-02-09,35,3000.000,3000.000,888
SEE998020919283,04011000,Bremen,Bremen,8.542747,53.596088,2009-01-21,35,5000.000,5000.000,888
SEE938038563863,06532007,Lahn-Dill-Kreis,Driedorf,8.133700,50.648800,1998-05-29,35,500.000,500.000,888
SEE989831478342,07319000,Worms,Worms,8.285510,49.650905,2012-01-21,35,3000.000,3000.000,888
SEE908194160398,06532007,Lahn-Dill-Kreis,Driedorf,8.136500,50.648500,1998-05-29,35,500.000,500.000,888
SEE925727553458,05334002,Städteregion Aachen,Aachen,6.028525,50.822697,2017-10-12,35,2750.000,2750.000,888
SEE938906470422,09675146,Kitzingen,Mainstockheim,10.117259,49.781605,2012-02-08,35,2000.000,2000.000,888
SEE903963449216,05362008,Rhein-Erft-Kreis,Bergheim,6.724813,50.937035,2018-02-28,35,3000.000,3000.000,888
SEE956795540705,09675146,Kitzingen,Mainstockheim,10.123655,49.782123,2012-01-13,35,2000.000,2000.000,888
SEE900522454056,05362008,Rhein-Erft-Kreis,Bergheim,6.717627,50.941416,2018-02-15,35,3000.000,3000.000,888
SEE957723622579,05362008,Rhein-Erft-Kreis,Bergheim,6.711188,50.945721,2018-08-30,35,3000.000,3000.000,888
SEE906110965270,03452017,Aurich,Marienhafe,7.243216,53.502987,2009-04-20,35,2300.000,2300.000,888
SEE902442233360,12068306,Ostprignitz-Ruppin,Märkisch Linden,12.731947,52.916969,2009-01-07,35,1500.000,1500.000,888
SEE902873520671,09176137,Eichstätt,Kinding,11.212018,49.036148,2017-08-10,35,2400.000,2400.000,888
SEE972861754494,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.434900,53.879995,2013-06-21,35,3050.000,3050.000,888
SEE991181426935,,,,5.828958,54.341550,2017-03-19,35,6300.000,6300.000,889
SEE991612228343,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.430645,53.878166,2013-07-10,35,3050.000,3050.000,888
SEE953467930918,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.429678,53.874947,2013-07-15,35,3050.000,3050.000,888
SEE950224912781,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.426365,53.871857,2013-07-30,35,3050.000,3050.000,888
SEE901124399400,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.434115,53.874153,2013-08-12,35,3050.000,3050.000,888
SEE927540582134,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.437973,53.877179,2013-09-03,35,3050.000,3050.000,888
SEE972259067519,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.437285,53.871857,2013-09-06,35,3050.000,3050.000,888
SEE935439330193,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.444222,53.881120,2013-09-07,35,3050.000,3050.000,888
SEE990377722783,05974016,Soest,Erwitte,8.278833,51.614717,2001-07-01,35,850.000,850.000,888
SEE903572407003,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.441131,53.883820,2013-09-16,35,3050.000,3050.000,888
SEE947975982231,03360009,Uelzen,Gerdau,10.401259,52.984043,2018-12-13,35,3600.000,3600.000,888
SEE916778409283,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.443690,53.874118,2013-09-23,35,3050.000,3050.000,888
